"date","emb_price","credit_spread","oil_price","vix"
"2016-04-08",110.05,4.3,80.24,15.36
"2016-04-11",110.54,4.26,82.24,16.26
"2016-04-12",110.69,4.15,85.12,14.85
"2016-04-13",111.15,4.05,84.08,13.84
"2016-04-14",111.29,3.99,83.84,13.72
"2016-04-15",111.35,4.01,82,13.62
"2016-04-18",111.41,4,81.36,13.35
"2016-04-19",111.84,3.87,83.52,13.24
"2016-04-20",111.93,3.74,86.08,13.28
"2016-04-21",111.53,3.74,85.76,13.95
"2016-04-22",111.36,3.73,86.08,13.22
"2016-04-25",110.91,3.75,84.4,14.08
"2016-04-26",111.01,3.7,86.48,13.96
"2016-04-27",111.51,3.72,89.12,13.77
"2016-04-28",111.74,3.68,89.76,15.22
"2016-04-29",111.63,3.74,90.4,15.7
"2016-05-02",111.2,3.76,88.4,14.68
"2016-05-03",110.95,3.9,85.92,15.6
"2016-05-04",110.69,3.96,86.32,16.05
"2016-05-05",110.94,4.02,87.2,15.91
"2016-05-06",111.09,4.06,87.68,14.72
"2016-05-09",110.81,4.1,85.44,14.57
"2016-05-10",111.3,4.03,87.92,13.63
"2016-05-11",111.56,3.99,90.72,14.69
"2016-05-12",111.78,3.94,91.6,14.41
"2016-05-13",111.85,4,90.96,15.04
"2016-05-16",111.91,3.91,94.08,14.68
"2016-05-17",111.83,3.87,95.36,15.57
"2016-05-18",110.75,3.78,93.6,15.95
"2016-05-19",110.37,3.92,94.32,16.33
"2016-05-20",110.48,3.84,94,15.2
"2016-05-23",110.49,3.84,93.28,15.82
"2016-05-24",110.75,3.77,94.56,14.42
"2016-05-25",111.06,3.71,96.24,13.9
"2016-05-26",111.1,3.75,95.6,13.43
"2016-05-27",111.04,3.74,95.84,13.12
"2016-05-31",110.98,3.71,94.96,14.19
"2016-06-01",110.92,3.75,95.44,14.2
"2016-06-02",111.12,3.76,94.88,13.63
"2016-06-03",112,3.84,94.56,13.47
"2016-06-06",112.21,3.75,96.32,13.65
"2016-06-07",112.39,3.69,97.76,14.05
"2016-06-08",112.98,3.63,99.44,14.08
"2016-06-09",112.84,3.67,98,14.64
"2016-06-10",112.41,3.79,94.96,17.03
"2016-06-13",112,3.86,94.08,20.97
"2016-06-14",111.49,3.99,93.84,20.5
"2016-06-15",111.93,3.97,91.76,20.14
"2016-06-16",111.95,4.08,89.12,19.37
"2016-06-17",111.84,3.97,93.28,19.41
"2016-06-20",112.6,3.8,95.28,18.37
"2016-06-21",112.51,3.8,95.12,18.48
"2016-06-22",113,3.77,93.92,21.17
"2016-06-23",113.27,3.65,95.84,17.25
"2016-06-24",112.31,4.08,91.2,25.76
"2016-06-27",112.65,4.29,89.52,23.85
"2016-06-28",113.48,4.2,91.76,18.75
"2016-06-29",114.62,4.02,94.32,16.64
"2016-06-30",115.15,4,92.56,15.63
"2016-07-01",115.06,3.92,94.24,14.77
"2016-07-05",115.32,3.97,89.44,15.58
"2016-07-06",115.48,3.94,90.64,14.96
"2016-07-07",115.44,3.83,86.56,14.76
"2016-07-08",116.36,3.71,86.64,13.2
"2016-07-11",116.69,3.53,85.2,13.54
"2016-07-12",116.29,3.38,89.52,13.55
"2016-07-13",116.35,3.49,86,13.04
"2016-07-14",116.4,3.37,86.96,12.82
"2016-07-15",116.37,3.34,87.92,12.67
"2016-07-18",116.21,3.35,86.56,12.44
"2016-07-19",116.24,3.37,85.6,11.97
"2016-07-20",116.19,3.31,85.84,11.77
"2016-07-21",116.19,3.33,83.92,12.74
"2016-07-22",116.2,3.32,83.36,12.02
"2016-07-25",115.91,3.32,81.04,12.87
"2016-07-26",115.58,3.37,80.64,13.05
"2016-07-27",116.1,3.41,79.2,12.83
"2016-07-28",115.82,3.45,77.36,12.72
"2016-07-29",116.19,3.53,78.08,11.87
"2016-08-01",115.25,3.61,75.28,12.44
"2016-08-02",114.98,3.63,74.64,13.37
"2016-08-03",115.14,3.62,77.52,12.86
"2016-08-04",115.91,3.57,78.72,12.42
"2016-08-05",115.61,3.41,78.88,11.39
"2016-08-08",116.3,3.38,80.8,11.5
"2016-08-09",116.84,3.35,80.56,11.66
"2016-08-10",117.18,3.38,78.16,12.05
"2016-08-11",117,3.3,81.68,11.68
"2016-08-12",117.5,3.34,84,11.55
"2016-08-15",117.64,3.25,86.08,11.81
"2016-08-16",117.33,3.2,87.36,12.64
"2016-08-17",117.69,3.23,87.92,12.19
"2016-08-18",117.97,3.24,90.4,11.43
"2016-08-19",117.42,3.19,90.72,11.34
"2016-08-22",117.57,3.23,87.76,12.27
"2016-08-23",117.67,3.19,88.7265,12.38
"2016-08-24",117.27,3.19,86.56,13.45
"2016-08-25",117.26,3.2,87.6,13.63
"2016-08-26",117.11,3.1,87.6,13.65
